Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Slovenia,SVN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.214853464,2.038875957,4.013563434,3.230690443,2.461927888,2.83905082,3.956002739,0.942167944,3.589145624,3.630147784
Slovenia,SVN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-71937722.43,-806715006.3,-1404352738,-968692741.6,-565155753.7,-1089237503,-856937641.8,320588284.5,-525233103.5,-1348969666
Slovenia,SVN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,32084994.2,212665607.2,325794361.5,477581493.1,631072851,448900112.6,1294599892,826857771.3,1694014652,831423257
Slovenia,SVN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.163520875,2.667134059,2.133258028,3.116346601,4.747106183,4.076316305,2.804350414,-4.880091909,7.937916227,2.271239311
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,23503.28249,24247.17332,20890.16643,21678.35947,23514.02546,26123.74713,26042.44635,25558.42905,29331.0647,28439.3341
Slovenia,SVN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.769200859,0.199343827,-0.525552286,-0.054999542,1.429107433,1.73860862,1.630522608,-0.054856816,1.917065061,8.833698867
Slovenia,SVN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,14.5,14.3,13.9,13.3,13.3,12,12.4,11.7,12.1,..
Slovenia,SVN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.14,9.719,8.997,8.018,6.574,5.126,4.453,4.991,4.744,4.011
Slovenia,SVN,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,21.645,20.443,16.432,15.306,11.285,8.874,8.152,14.24,12.781,10.08
Solomon Islands,SLB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.421,5.407,5.26,5.176,5.11,5.052,4.989,5.082,5.028,..
Solomon Islands,SLB,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,7773137.5,7804129.8,6451181,7612567.3,6232841.2,5925675.6,6224830.6,6303142.9,6497200.3,6082582.1
Solomon Islands,SLB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.93233155,42.33678162,40.36052049,39.72857612,38.67918018,42.12623861,36.49690192,27.93849568,..,..
Solomon Islands,SLB,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,573510019.5,567771569.9,525935948.7,554859849.1,593886704.2,680656697.4,591292572.9,428833631.1,413657230.9,411359144.2
Solomon Islands,SLB,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.235233335,0.050396799,0.360411069,0.09898092,0.477785154,0.560548101,0.249989287,0.216556865,0.309368063,0.147290641
Solomon Islands,SLB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.155367442,1.574010169,2.463681089,2.707059459,2.917695816,1.54706752,2.024950815,0.584582978,1.76669051,2.549381545
Solomon Islands,SLB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-50409458.67,-20348944.73,-27508876.56,-35978190.58,-35861541.42,-15937008.06,-28739378.63,-5653417.728,-23030117.86,-38366300.18
Solomon Islands,SLB,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3024892.709,673085.2426,4713852.008,1365432.191,7022434.212,9055533.461,4047714.086,3326629.214,4888954.379,2352532.508
Solomon Islands,SLB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.599048838,-1.353323068,-0.860529804,2.959649581,0.587961871,0.312349383,-0.623761218,-5.645371054,-2.909936074,-6.237705663
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2208.085284,2235.733703,2134.805418,2196.283891,2283.579051,2450.482888,2398.77305,2222.462119,2232.536954,2205.251805
Solomon Islands,SLB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.391363886,5.165902379,-0.574469286,0.512485626,0.48868676,3.46147485,1.63485544,2.963549921,-0.115437894,5.518129286
Solomon Islands,SLB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.694,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,1.327,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.129,12.81,12.447,12.275,11.891,11.444,11.041,11.39,11.596,..
Somalia,SOM,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,0,0,0,0,0,0,0,480864257.1,16637916.8,15374061.4
Somalia,SOM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.15142621,16.79159565,14.86001323,14.43945566,12.0491006,13.51741123,12.00581979,12.79858793,15.57114463,17.3140445
Somalia,SOM,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..
